site_id,sitename,location,lon,lat,met_filename,met_start_date,met_end_date,cohort_filename,start_date,end_date
1000012833,MANDIFORE-SEUS-1171,SEUS,-91.9753559,30.1817061,NARR_ED2_site_1-12833,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12833,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012857,MANDIFORE-SEUS-1198,SEUS,-83.3066511,29.5158373,NARR_ED2_site_1-12857,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12857,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012860,MANDIFORE-SEUS-1200,SEUS,-83.1022513,29.4916167,NARR_ED2_site_1-12860,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12860,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012894,MANDIFORE-SEUS-1261,SEUS,-90.8275634,30.2237492,NARR_ED2_site_1-12894,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12894,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012917,MANDIFORE-SEUS-1291,SEUS,-82.1690289,29.467134,NARR_ED2_site_1-12917,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12917,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012952,MANDIFORE-SEUS-1348,SEUS,-90.302086,30.2879241,NARR_ED2_site_1-12952,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12952,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012979,MANDIFORE-SEUS-1382,SEUS,-81.9499166,29.5300089,NARR_ED2_site_1-12979,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12979,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000013006,MANDIFORE-SEUS-1424,SEUS,-91.9621055,30.4516143,NARR_ED2_site_1-13006,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-13006,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000013007,MANDIFORE-SEUS-1425,SEUS,-91.8578805,30.447741,NARR_ED2_site_1-13007,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-13007,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000013014,MANDIFORE-SEUS-1438,SEUS,-90.5039527,30.3884146,NARR_ED2_site_1-13014,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-13014,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000013040,MANDIFORE-SEUS-1471,SEUS,-83.5731055,29.8196756,NARR_ED2_site_1-13040,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-13040,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000013041,MANDIFORE-SEUS-1472,SEUS,-83.4704771,29.8078723,NARR_ED2_site_1-13041,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-13041,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000013082,MANDIFORE-SEUS-1536,SEUS,-91.2275133,30.5123377,NARR_ED2_site_1-13082,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-13082,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
